Latvijas Kauss ,Lettland 
FL1 Aktiv-Cup ,Liechtenstein 
LFF Taure ,Litauen 
Coupe de Luxembourg ,Luxemburg 
FA Trophy ,Malta 
Cupa Moldovei ,Moldawien 
Kup Crne Gore ,Montenegro 
KNVB Beker ,Niederlande 
Irish Cup ,Nordirland 
JBE League Cup ,Nordirland 
Cup na Makedonija ,Nordmazedonien 
Norgesmesterskapet ,Norwegen 
Puchar Polski ,Polen 
Taca de Portugal ,Portugal 
Cupa Romaniei ,Rumänien 
Kubok Rossii ,Russland 
Coppa Titano ,San Marino 
Scottish FA Cup ,Schottland 
League Cup ,Schottland 
Svenska Cupen ,Schweden 
Lav Kup Srbije ,Serbien 
Slovenský Pohár ,Slowakei 
Pokal Slovenije ,Slowenien 
Copa del Rey ,Spanien 
MOL Cup ,Tschechien 
Türkiye Kupasi ,Türkei 
Kubok Ukrainy ,Ukraine 
Magyar Kupa ,Ungarn 
U.S. Open Cup ,USA 
Welsh Cup ,Wales 
Kywok Belarusi ,Weißrussland 
Kypello Kyprou ,Zypern 
Afrika-Cup ,(Afrika) 
Copa de la Superliga ,Argentinien 
Cup na Severna Makedonija ,Nordmazedonien 
Supercup ,Argentinien 
Canadian Championship ,Kanada 