Belgien;1737
Frankreich;1734
Brasilien;1676
England;1647
Kroatien;1621
Uruguay;1613
Portugal;1607
Schweiz;1604
Spanien;1601
Dänemark;1586
Argentinien;1580
Kolumbien;1573
Deutschland;1570
Schweden;1567
Chile;1559
Niederlande;1554
Italien;1550
Mexiko;1549
Wales;1539
Polen;1535
Peru;1516
Iran;1516
Senegal;1515
USA;1506
Rumänien;1496
Japan;1494
Ukraine;1493
Tunesien;1491
Serbien;1484
Venezuela;1484
Irland;1484
Slowakei;1482
Nordirland;1481
Österreich;1479
Bosnien-Herzegowina;1478
Paraguay;1467
Südkorea;1462
Costa Rica;1458
Türkei;1457
Island;1450
Schottland;1446
Australien;1441
Nigeria;1435
Griechenland;1433
Marokko;1429
DR Kongo;1425
Russland;1425
Tschechien;1424
Ghana;1423
Norwegen;1420
Bulgarien;1419
Montenegro;1419
Ungarn;1419
Kamerun;1399
Katar;1398
Jamaika;1391
Ägypten;1384
Burkina Faso;1380
Ecuador;1378
Finnland;1375
Honduras;1369
Albanien;1368
Slowenien;1366
Bolivien;1366
Elfenbeinküste;1365
Mali;1365
V. A. E.;1360
Guinea;1350
Nordmazedonien;1350
Algerien;1348
El Salvador;1344
Saudi-Arabien;1342
Südafrika;1335
Panama;1327
China;1327
Kap Verde;1319
Irak;1319
Kanada;1314
Uganda;1302
Sambia;1302
Weißrussland;1301
Curaçao;1296
Syrien;1286
Israel;1285
Usbekistan;1279
Luxemburg;1277
Oman;1277
Libanon;1277
Zypern;1276
Gabun;1272
Benin;1267
Kongo;1265
Trinidad;1258
Georgien;1256
Kirgisistan;1253
Estland;1240
Jordanien;1229
Südvietnam;1227
Vietnam;1227
Palästina;1224
Haiti;1223
Indien;1219
Färöer;1213
Mauretanien;1210
Niger;1209
Libyen;1207
Armenien;1206
Madagaskar;1203
Aserbaidschan;1202
Kenia;1202
Simbabwe;1190
Bahrain;1188
Zentralafrika;1184
Namibia;1181
Thailand;1174
Sierra Leone;1172
Kasachstan;1171
Mosambik;1166
Guinea-Bissau;1158
Neuseeland;1157
Tadschikistan;1155
Nordkorea;1152
Angola;1142
Antigua und B.;1136
Philippinen;1135
C. Taipeh;1128
Togo;1127
Kosovo;1124
Malawi;1122
Nicaragua;1120
Sudan;1106
Tansania;1105
Litauen;1102
Lettland;1101
Andorra;1099
St. Kitts/Nevis;1096
Burundi;1089
Turkmenistan;1089
Ruanda;1088
Salomonen;1083
Myanmar;1080
Hongkong;1078
Lesotho;1075
Äquat.guinea;1074
Eswatini;1074
Guatemala;1074
Jemen;1073
Komoren;1071
Botsuana;1060
Afghanistan;1057
Äthiopien;1049
Malediven;1046
Suriname;1045
Liberia;1044
Dom. Rep.;1028
Neukaledonien;1026
Mauritius;1022
Kuwait;1022
Tahiti;1020
Indonesien;1008
Singapur;998
Barbados;996
Nepal;996
Gambia;994
Belize;994
Fidschi;992
Vanuatu;991
Südsudan;989
Malaysia;986
Papua-Neuguinea;984
St. Lucia;975
Moldawien;974
Grenada;973
Kambodscha;967
Kuba;961
Bermuda;959
Guyana;959
Tschad;956
St. Vincent;954
Dominica;954
Malta;943
Puerto Rico;940
Liechtenstein;932
Macau;925                        
Laos;923
São Tomé und P.;920
Bhutan;917
Mongolei;915
Aruba;909
Bangladesch;909
Seychellen;908
A. Samoa;908
Cookinseln;908
Guam;907
Brunei;903
Gibraltar;900
Osttimor;900
Samoa;896
Dschibuti;896
Montserrat;895
Pakistan;888
Pakistan;888
A. Jungfern;888
Sri Lanka;886
Tonga;868
Somalia;868
Eritrea;868
B. Jungfern;867
Cayman-Inseln;867
Turks-Caicos;862
Anguilla;857
Bahamas;855
San Marino;848